主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
764,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1高压侧间隙过流保护2时限动作,3#主变保护A屏CSC326T1高压侧间隙过流保护2时限动作
765,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1高压侧零序过压保护1时限动作,3#主变保护A屏CSC326T1高压侧零序过压保护1时限动作
766,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1高压侧零序过压保护2时限动作,3#主变保护A屏CSC326T1高压侧零序过压保护2时限动作
767,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护I段1时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护I段1时限动作
768,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护I段2时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护I段2时限动作
769,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护I段3时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护I段3时限动作
770,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护II段1时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护II段1时限动作
771,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护II段2时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护II段2时限动作
772,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护II段3时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护II段3时限动作
773,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护III段1时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护III段1时限动作
774,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧复压过流保护III段2时限动作,3#主变保护A屏CSC326T1低压侧复压过流保护III段2时限动作
775,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧零序过流1时限动作,3#主变保护A屏CSC326T1低压侧零序过流1时限动作
776,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧零序过流2时限动作,3#主变保护A屏CSC326T1低压侧零序过流2时限动作
777,110kV,3号主变公用,3号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变保护A屏CSC326T1低压侧零序过流3时限动作,3#主变保护A屏CSC326T1低压侧零序过流3时限动作
778,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1高压侧过负荷,3#主变保护A屏CSC326T1高压侧过负荷
779,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1低压侧过负荷,3#主变保护A屏CSC326T1低压侧过负荷
780,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1高压侧PT断线,3#主变保护A屏CSC326T1高压侧PT断线
781,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1低压侧PT断线,3#主变保护A屏CSC326T1低压侧PT断线
782,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1高压侧CT断线,3#主变保护A屏CSC326T1高压侧CT断线
783,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1低压侧CT断线,3#主变保护A屏CSC326T1低压侧CT断线
784,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变保护A屏CSC326T1装置故障,3#主变保护A屏CSC326T1装置故障
785,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1装置异常,3#主变保护A屏CSC326T1装置异常
786,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1SV总告警,3#主变保护A屏CSC326T1SV总告警
787,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,3#主变保护A屏CSC326T1通信中断,3#主变保护A屏CSC326T1通信中断
788,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1对时异常,3#主变保护A屏CSC326T1对时异常
789,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变保护A屏CSC326T1检修不一致,3#主变保护A屏CSC326T1检修不一致
790,110kV,3号主变公用,3号主变保护A,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变保护A屏CSC326T1检修压板投入,3#主变保护A屏CSC326T1检修压板投入
791,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1保护动作,3#主变保护B屏CSC326T1保护动作
792,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1差动保护动作,3#主变保护B屏CSC326T1差动保护动作
793,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1差动速断保护动作,3#主变保护B屏CSC326T1差动速断保护动作
794,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护I段1时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护I段1时限动作
795,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护I段2时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护I段2时限动作
796,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护I段3时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护I段3时限动作
797,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护II段1时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护II段1时限动作
798,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护II段2时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护II段2时限动作
799,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护II段3时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护II段3时限动作
800,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护III段1时限动作(过流),3#主变保护B屏CSC326T1高压侧复压过流保护III段1时限动作(过流)
801,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧复压过流保护III段2时限动作,3#主变保护B屏CSC326T1高压侧复压过流保护III段2时限动作
802,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护I段1时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护I段1时限动作
803,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护I段2时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护I段2时限动作
804,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护I段3时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护I段3时限动作
805,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护II段1时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护II段1时限动作
806,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护II段2时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护II段2时限动作
807,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护II段3时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护II段3时限动作
808,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护III段1时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护III段1时限动作
809,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过流保护III段2时限动作,3#主变保护B屏CSC326T1高压侧零序过流保护III段2时限动作
810,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧间隙过流保护1时限动作,3#主变保护B屏CSC326T1高压侧间隙过流保护1时限动作
811,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧间隙过流保护2时限动作,3#主变保护B屏CSC326T1高压侧间隙过流保护2时限动作
812,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过压保护1时限动作,3#主变保护B屏CSC326T1高压侧零序过压保护1时限动作
813,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1高压侧零序过压保护2时限动作,3#主变保护B屏CSC326T1高压侧零序过压保护2时限动作
814,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护I段1时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护I段1时限动作
815,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护I段2时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护I段2时限动作
816,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护I段3时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护I段3时限动作
817,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护II段1时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护II段1时限动作
818,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护II段2时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护II段2时限动作
819,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护II段3时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护II段3时限动作
820,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护III段1时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护III段1时限动作
821,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧复压过流保护III段2时限动作,3#主变保护B屏CSC326T1低压侧复压过流保护III段2时限动作
822,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧零序过流1时限动作,3#主变保护B屏CSC326T1低压侧零序过流1时限动作
823,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧零序过流2时限动作,3#主变保护B屏CSC326T1低压侧零序过流2时限动作
824,110kV,3号主变公用,3号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,3#主变保护B屏CSC326T1低压侧零序过流3时限动作,3#主变保护B屏CSC326T1低压侧零序过流3时限动作
825,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1高压侧过负荷,3#主变保护B屏CSC326T1高压侧过负荷
826,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1低压侧过负荷,3#主变保护B屏CSC326T1低压侧过负荷
827,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1高压侧PT断线,3#主变保护B屏CSC326T1高压侧PT断线
828,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1低压侧PT断线,3#主变保护B屏CSC326T1低压侧PT断线
829,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1高压侧CT断线,3#主变保护B屏CSC326T1高压侧CT断线
830,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1低压侧CT断线,3#主变保护B屏CSC326T1低压侧CT断线
831,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备故障告警,是,3#主变保护B屏CSC326T1装置故障,3#主变保护B屏CSC326T1装置故障
832,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1装置异常,3#主变保护B屏CSC326T1装置异常
833,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1SV总告警,3#主变保护B屏CSC326T1SV总告警
834,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB恢复/中断,二次设备故障告警,是,3#主变保护B屏CSC326T1通信中断,3#主变保护B屏CSC326T1通信中断
835,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1对时异常,3#主变保护B屏CSC326T1对时异常
836,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,3#主变保护B屏CSC326T1检修不一致,3#主变保护B屏CSC326T1检修不一致
837,110kV,3号主变公用,3号主变保护B,二次设备,异常,,,PSCBDB退出/投入,二次设备异常告警,是,3#主变保护B屏CSC326T1检修压板投入,3#主变保护B屏CSC326T1检修压板投入
838,110kV,3号主变公用,3号主变本体合并单元A,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变本体中性点合并单元A故障,3#主变本体中性点合并单元A故障
839,110kV,3号主变公用,3号主变本体合并单元A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体中性点合并单元A异常,3#主变本体中性点合并单元A异常
840,110kV,3号主变公用,3号主变本体合并单元A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体中性点合并单元A对时异常,3#主变本体中性点合并单元A对时异常
841,110kV,3号主变公用,3号主变本体合并单元A,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变本体中性点合并单元A检修压板投入,3#主变本体中性点合并单元A检修压板投入
842,110kV,3号主变公用,3号主变本体合并单元B,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变本体中性点合并单元B故障,3#主变本体中性点合并单元B故障
843,110kV,3号主变公用,3号主变本体合并单元B,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体中性点合并单元B异常,3#主变本体中性点合并单元B异常
844,110kV,3号主变公用,3号主变本体合并单元B,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体中性点合并单元B对时异常,3#主变本体中性点合并单元B对时异常
845,110kV,3号主变公用,3号主变本体合并单元B,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变本体中性点合并单元B检修压板投入,3#主变本体中性点合并单元B检修压板投入
846,110kV,3号主变公用,3号主变本体智能终端,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变本体智能终端兼非电量保护装置故障,3#主变本体智能终端兼非电量保护装置故障
847,110kV,3号主变公用,3号主变本体智能终端,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体智能终端兼非电量保护装置异常,3#主变本体智能终端兼非电量保护装置异常
848,110kV,3号主变公用,3号主变本体智能终端,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体智能终端兼非电量保护装置对时异常,3#主变本体智能终端兼非电量保护装置对时异常
849,110kV,3号主变公用,3号主变本体智能终端,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体智能终端兼非电量保护装置GOOSE总告警,3#主变本体智能终端兼非电量保护装置GOOSE总告警
850,110kV,3号主变公用,3号主变本体智能终端,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变本体智能终端兼非电量保护装置检修压板投入,3#主变本体智能终端兼非电量保护装置检修压板投入
851,110kV,3号主变公用,3号主变本体智能终端,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体智能终端兼非电量保护装置检修不一致,3#主变本体智能终端兼非电量保护装置检修不一致
852,110kV,3号主变公用,3号主变机构,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,3#主变本体智能组件柜温湿度异常,3#主变本体智能组件柜温湿度异常
853,110kV,3号主变公用,3号主变机构,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,3#主变本体智能组件柜温湿度控制设备故障,3#主变本体智能组件柜温湿度控制设备故障
854,110kV,3号主变公用,3号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变本体测控装置故障,3#主变本体测控装置故障
855,110kV,3号主变公用,3号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体测控装置异常,3#主变本体测控装置异常
856,110kV,3号主变公用,3号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体测控装置GOOSE总告警,3#主变本体测控装置GOOSE总告警
857,110kV,3号主变公用,3号主变本体测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,3#主变本体测控装置通信中断,3#主变本体测控装置通信中断
858,110kV,3号主变公用,3号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变本体测控装置对时异常,3#主变本体测控装置对时异常
859,110kV,3号主变公用,3号主变本体测控,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变本体测控装置检修压板投入,3#主变本体测控装置检修压板投入
860,110kV,3号主变公用,3号主变接地变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护A屏ESP-3134A保护动作,3#主变接地变保护A屏ESP-3134A保护动作
861,110kV,3号主变公用,3号主变接地变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护A屏ESP-3134A过流Ⅰ段动作,3#主变接地变保护A屏ESP-3134A过流Ⅰ段动作
862,110kV,3号主变公用,3号主变接地变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护A屏ESP-3134A过流Ⅱ段动作,3#主变接地变保护A屏ESP-3134A过流Ⅱ段动作
863,110kV,3号主变公用,3号主变接地变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护A屏ESP-3134A零流1时限动作,3#主变接地变保护A屏ESP-3134A零流1时限动作
864,110kV,3号主变公用,3号主变接地变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护A屏ESP-3134A零流2时限动作,3#主变接地变保护A屏ESP-3134A零流2时限动作
865,110kV,3号主变公用,3号主变接地变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变接地变保护A屏ESP-3134A装置故障,3#主变接地变保护A屏ESP-3134A装置故障
866,110kV,3号主变公用,3号主变接地变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变接地变保护A屏ESP-3134A装置异常,3#主变接地变保护A屏ESP-3134A装置异常
867,110kV,3号主变公用,3号主变接地变保护A,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,3#主变接地变保护A屏ESP-3134A装置通信中断,3#主变接地变保护A屏ESP-3134A装置通信中断
868,110kV,3号主变公用,3号主变接地变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变接地变保护A屏ESP-3134A对时异常,3#主变接地变保护A屏ESP-3134A对时异常
869,110kV,3号主变公用,3号主变接地变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变接地变保护A屏ESP-3134ASV总告警,3#主变接地变保护A屏ESP-3134ASV总告警
870,110kV,3号主变公用,3号主变接地变保护A,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变接地变保护A屏ESP-3134A检修压板投入,3#主变接地变保护A屏ESP-3134A检修压板投入
871,110kV,3号主变公用,3号主变接地变保护B,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护B屏ESP-3134A保护动作,3#主变接地变保护B屏ESP-3134A保护动作
872,110kV,3号主变公用,3号主变接地变保护B,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护B屏ESP-3134A过流Ⅰ段动作,3#主变接地变保护B屏ESP-3134A过流Ⅰ段动作
873,110kV,3号主变公用,3号主变接地变保护B,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护B屏ESP-3134A过流Ⅱ段动作,3#主变接地变保护B屏ESP-3134A过流Ⅱ段动作
874,110kV,3号主变公用,3号主变接地变保护B,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护B屏ESP-3134A零流1时限动作,3#主变接地变保护B屏ESP-3134A零流1时限动作
875,110kV,3号主变公用,3号主变接地变保护B,二次设备,事故,,,PSCADA复归/动作,保护事件,是,3#主变接地变保护B屏ESP-3134A零流2时限动作,3#主变接地变保护B屏ESP-3134A零流2时限动作
876,110kV,3号主变公用,3号主变接地变保护B,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,3#主变接地变保护B屏ESP-3134A装置故障,3#主变接地变保护B屏ESP-3134A装置故障
877,110kV,3号主变公用,3号主变接地变保护B,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变接地变保护B屏ESP-3134A装置异常,3#主变接地变保护B屏ESP-3134A装置异常
878,110kV,3号主变公用,3号主变接地变保护B,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,3#主变接地变保护B屏ESP-3134A装置通信中断,3#主变接地变保护B屏ESP-3134A装置通信中断
879,110kV,3号主变公用,3号主变接地变保护B,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变接地变保护B屏ESP-3134A对时异常,3#主变接地变保护B屏ESP-3134A对时异常
880,110kV,3号主变公用,3号主变接地变保护B,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,3#主变接地变保护B屏ESP-3134ASV总告警,3#主变接地变保护B屏ESP-3134ASV总告警
881,110kV,3号主变公用,3号主变接地变保护B,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,3#主变接地变保护B屏ESP-3134A检修压板投入,3#主变接地变保护B屏ESP-3134A检修压板投入
882,110kV,3号主变公用,3号主变接地变公用,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,3#接地变温度高告警,3#接地变温度高告警
883,110kV,3号主变公用,3号主变接地变公用,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,3#接地变温控器故障,3#接地变温控器故障
884,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,103刀闸电机电源消失,103刀闸电机电源消失
885,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,103刀闸控制电源消失,103刀闸控制电源消失
886,110kV,3号主变110kV侧,103开关机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,103刀闸就地控制,103刀闸就地控制
887,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103开关汇控柜温控器故障告警,103开关汇控柜温控器故障告警
888,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103-4/-47刀闸气室SF6气压低告警,103-4/-47刀闸气室SF6气压低告警
889,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103验电器故障告警,103验电器故障告警
890,110kV,3号主变110kV侧,103开关机构,辅助设备,告知,,,PSCADA联锁/解锁,一般遥信,是,103开关汇控柜电气联锁解除,103开关汇控柜电气联锁解除
891,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103开关汇控柜温控器超温报警,103开关汇控柜温控器超温报警
892,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103开关汇控柜温控器超湿报警,103开关汇控柜温控器超湿报警
893,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103-2/-27/-07刀闸气室SF6气压低告警,103-2/-27/-07刀闸气室SF6气压低告警
894,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103断路器气室SF6气压低告警,103断路器气室SF6气压低告警
895,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103直流空开断开报警,103直流空开断开报警
896,110kV,3号主变110kV侧,103开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,103主变侧无电,103主变侧无电
897,110kV,3号主变110kV侧,103合智一体A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,103合智一体A异常,103合智一体A异常
898,110kV,3号主变110kV侧,103合智一体A,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,103合智一体A故障,103合智一体A故障
899,110kV,3号主变110kV侧,103合智一体A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,103合智一体A控制回路断线,103合智一体A控制回路断线
